holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,filename,width,height,class,xmin,ymin,xmax,ymax
None,0.7053039332538713,0.0,0.0,0.4,Clouds,1,0.7639965546942291,traffic-light-653-_jpg.rf.8a54c19f845d7f8173fdb2e9a2bd9b9d.jpg,640,640,Traffic-Yellow,526,51,542,94
None,0.7374851013110835,0.0,0.0,0.75,Clouds,0,0.6162790697674418,traffic-light-236-_jpg.rf.8a7376d8a45bae3d9d416e3414ea7919.jpg,640,640,Traffic-Green,240,127,358,336
None,0.7440405244338493,0.0,0.0,0.9,Clouds,0,0.6523112259546369,493_png_jpg.rf.8a7653e4fafd99be8b1d3405be198af9.jpg,640,640,Traffic-Yellow,182,181,286,306
None,0.760429082240762,0.0,0.0,0.9,Clouds,0,0.6894918173987942,traffic-light-532-_jpg.rf.8ad2ca25f7a7788ed584877ebe97b455.jpg,640,640,Traffic-Green,426,96,554,507
None,0.7905244338498196,0.0,0.0,0.75,Clouds,0,0.6739879414298019,318_png_jpg.rf.8ae78c1f5ece994c438fe02bf5559a18.jpg,640,640,Traffic-Yellow,340,185,433,322
None,0.8078069129916567,0.0,0.0,0.01,Clear,0,0.7117427505024404,traffic-light-465-_jpg.rf.8b371b08a9e6bb9e99614fdb586e7ac3.jpg,640,640,Traffic-Red,170,395,220,485
None,0.851013110846246,0.0,0.0,0.01,Clear,0,0.7695951765719208,470_png_jpg.rf.8b5a40fa139ef1b010996e24a04d2c13.jpg,640,640,Traffic-Yellow,219,0,313,62
None,0.8715733015494642,0.0,0.0,0.01,Clear,0,0.8314671260407694,268_png_jpg.rf.8be2d3b92f50cb4788d0407bbad3cc9b.jpg,640,640,Traffic-Red,282,308,312,343
None,0.8799165673420735,0.0,0.0,0.2,Clouds,1,0.7993109388458226,206_png_jpg.rf.8c2285f8681517ebc514d539d1f8ebea.jpg,640,640,Traffic-Red,204,278,293,387
None,0.8489272943980932,0.0,0.0,0.2,Clouds,1,0.6527418891759977,92_png_jpg.rf.8c0d0c30971b8bbd5989d4518a4c1b02.jpg,640,640,Traffic-Green,275,230,346,317
None,0.7854588796185933,0.0,0.0,0.2,Clouds,1,0.4760264140109102,345_png_jpg.rf.8ddc10ebc43b990e0236b2140c8c059c.jpg,640,640,Traffic-Red,296,189,413,339
None,0.7380810488676985,0.0,0.0,0.01,Clear,0,0.36764283663508474,334_png_jpg.rf.8e0be7de51be33d0f64ce8ac95d0d317.jpg,640,640,Traffic-Green,183,401,261,501
None,0.7151370679380218,0.0,0.0,0.01,Clear,0,0.3069193224231984,traffic-light-53-_jpg.rf.8eacca1733f3010c34a074af6b3d280b.jpg,640,640,Traffic-Yellow,223,127,403,460
None,0.6719308700834326,0.0,0.0,0.01,Clear,0,0.18748205569910997,296_png_jpg.rf.8dafae7ee88c0e2a43e68595a6ff45c2.jpg,640,640,Traffic-Red,252,111,341,226
None,0.6209773539928474,0.0,0.0,0.01,Clear,0,0.10623026126902096,442_png_jpg.rf.8d49b6ac399de268a5e92206e49643aa.jpg,640,640,Traffic-Yellow,241,168,331,278
None,0.5965435041716329,0.0,0.0,0.01,Clear,0,0.04062589721504451,68_png_jpg.rf.8dffaa80dfbc137f7771c84db04b6ac9.jpg,640,640,Traffic-Yellow,221,126,288,206
None,0.5619785458879623,0.0,0.0,0.01,Clear,0,0.014068331897789263,485_png_jpg.rf.8e7fddf5a9b2c681f9c16bfc0fab0077.jpg,640,640,Traffic-Yellow,213,194,315,316
