holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,class,historical_traffic,latitude,longitude,accidents,economic_activity,incidents
,0.7053039332538713,0.0,0.0,0.4,Clouds,1,0.7639965546942291,Traffic-Yellow,0.8686847201021948,-81.0569842675977,57.87628316870362,2,Parade,1
,0.7374851013110835,0.0,0.0,0.75,Clouds,0,0.6162790697674418,Traffic-Green,0.8907941659555438,61.89442900814109,169.54531953043374,8,Market,2
,0.7440405244338493,0.0,0.0,0.9,Clouds,0,0.6523112259546369,Traffic-Yellow,0.9486549590226403,8.215790797975629,149.40703985486516,6,Market,3
,0.760429082240762,0.0,0.0,0.9,Clouds,0,0.6894918173987942,Traffic-Green,0.7625062349624196,-20.77303860861285,-132.77644142547257,3,None,4
,0.7905244338498196,0.0,0.0,0.75,Clouds,0,0.6739879414298019,Traffic-Yellow,0.8108931644998186,51.84466390842846,-101.43723605812352,2,Market,1
,0.8078069129916567,0.0,0.0,0.01,Clear,0,0.7117427505024404,Traffic-Red,0.6611033417424269,74.85624899009835,146.76532314498678,6,Market,4
,0.851013110846246,0.0,0.0,0.01,Clear,0,0.7695951765719208,Traffic-Yellow,0.34293956527438074,13.216962805575719,-129.15699321699782,3,None,1
,0.8715733015494642,0.0,0.0,0.01,Clear,0,0.8314671260407694,Traffic-Red,0.7111561534845056,28.676409095499224,-16.268481632000316,1,Market,0
,0.8799165673420735,0.0,0.0,0.2,Clouds,1,0.7993109388458226,Traffic-Red,0.6311055193163008,-70.64519157763092,113.24712256004449,8,Market,1
,0.8489272943980932,0.0,0.0,0.2,Clouds,1,0.6527418891759977,Traffic-Green,0.6195131331161515,-68.49208709967162,39.01602106495275,5,Sport Event,3
,0.7854588796185933,0.0,0.0,0.2,Clouds,1,0.4760264140109102,Traffic-Red,0.5045563743334541,-27.978184424082862,-168.55862852694864,6,None,3
,0.7380810488676985,0.0,0.0,0.01,Clear,0,0.3676428366350847,Traffic-Green,0.7412256409591843,-85.837095931717,-66.4969721116372,2,None,4
,0.7151370679380218,0.0,0.0,0.01,Clear,0,0.3069193224231984,Traffic-Yellow,0.20373727373872874,-72.61777100558568,53.5173125813713,7,None,4
,0.6719308700834326,0.0,0.0,0.01,Clear,0,0.1874820556991099,Traffic-Red,0.2293554449764677,74.72403689509196,-176.96240717806148,0,None,4
,0.6209773539928474,0.0,0.0,0.01,Clear,0,0.1062302612690209,Traffic-Yellow,0.1884530150027317,47.98354712874584,140.5117897154089,6,Concert,0
,0.5965435041716329,0.0,0.0,0.01,Clear,0,0.0406258972150445,Traffic-Yellow,0.8542706613001673,-60.96063909564051,-22.61963616425706,4,Parade,3
,0.5619785458879623,0.0,0.0,0.01,Clear,0,0.0140683318977892,Traffic-Yellow,0.31016483377080534,39.73177314824687,133.3327129452914,6,Parade,0
,0.4937425506555417,0.0,0.0,0.01,Clear,0,0.0071777203560149,Traffic-Yellow,0.3063575339835046,-12.593210967205593,-61.982660863597545,1,None,0
,0.4910607866507739,0.0,0.0,0.01,Clear,0,0.020671834625323,Traffic-Yellow,0.6280223110946328,64.41265521482597,32.207712303208865,0,Sport Event,0
,0.4445768772348017,0.0,0.0,0.01,Clear,0,0.0848406546080964,Traffic-Red,0.6553882981905507,-39.88748824860141,74.19839810680975,4,None,4
,0.4174612634088195,0.0,0.0,0.01,Clear,0,0.358168245765145,Traffic-Red,0.13897233926225153,20.41904403718172,168.03172860165358,2,Market,1
